date,symbol,round_trips,wins,win_rate_pct,gross_pct,fee_pct,net_pct,ended_flat,regulatory_posted,commission_known
2026-01-07,SOXL,1,1,100.0,0.0356,0.0004,0.0351,yes,yes,no
2026-01-08,SOXL,44,44,100.0,0.0844,0.0005,0.0839,yes,yes,no
2026-01-09,SOXL,18,18,100.0,0.0527,0.0004,0.0522,yes,yes,no
2026-01-12,SOXL,72,68,94.4,0.0258,0.0004,0.0253,yes,yes,no
2026-01-13,SOXL,38,38,100.0,0.0381,0.0004,0.0377,no,yes,no
2026-01-14,SOXL,10,10,100.0,0.2576,0.0082,0.2494,no,yes,no
2026-01-15,SOXL,83,75,90.4,-0.0467,0.0183,-0.0650,yes,yes,no
2026-01-16,SOXL,91,88,96.7,0.0011,0.0120,-0.0108,yes,yes,no
2026-01-20,SOXL,55,52,94.5,-0.0326,0.0182,-0.0508,yes,yes,no
2026-01-21,SOXL,39,37,94.9,-0.0040,0.0330,-0.0369,yes,yes,no
2026-01-22,SOXL,70,67,95.7,0.0178,0.0058,0.0120,no,yes,no
2026-01-23,SOXL,21,17,81.0,-0.0204,0.0099,-0.0303,no,yes,no
2026-01-26,SOXL,49,46,93.9,0.0214,0.0249,-0.0035,yes,yes,no
2026-01-27,SOXL,44,35,79.5,0.0124,0.0089,0.0035,no,yes,no
2026-01-28,SOXL,36,36,100.0,0.0407,0.0003,0.0404,yes,yes,no
2026-01-29,SOXL,73,69,94.5,0.0026,0.0003,0.0023,yes,yes,no
2026-01-30,SOXL,113,107,94.7,-0.0179,0.0004,-0.0183,yes,yes,no
2026-02-02,SOXL,81,75,92.6,-0.0235,0.0003,-0.0239,yes,yes,no
2026-02-03,SOXL,61,58,95.1,-0.0139,0.0004,-0.0142,no,yes,no
2026-02-04,SOXL,21,17,81.0,0.2103,0.1924,0.0180,no,yes,no
2026-02-06,SOXL,55,53,96.4,0.0227,0.0004,0.0223,yes,yes,no
2026-02-10,SOXL,93,88,94.6,-0.0223,0.0009,-0.0232,yes,yes,no
2026-02-11,SOXL,72,69,95.8,0.0276,0.0320,-0.0043,yes,yes,no
2026-02-13,SOXL,109,104,95.4,0.0065,0.0003,0.0062,yes,yes,no
2026-02-17,SOXL,101,99,98.0,0.0236,0.0195,0.0040,yes,yes,no
2026-02-18,SOXL,80,76,95.0,0.0062,0.0096,-0.0034,yes,yes,no
2026-02-19,SOXL,58,50,86.2,-0.0520,0.0193,-0.0713,yes,yes,no
2026-02-20,SOXL,40,37,92.5,-0.0332,0.0204,-0.0536,yes,yes,no
2026-02-23,SOXL,58,56,96.6,0.0104,0.0099,0.0005,yes,yes,no
2026-02-24,SOXL,43,40,93.0,0.0204,0.0154,0.0050,yes,yes,no
2026-02-25,SOXL,57,50,87.7,-0.0170,0.0049,-0.0220,yes,yes,no
2026-02-26,SOXL,49,47,95.9,-0.0550,0.0345,-0.0895,yes,yes,no
2026-02-27,SOXL,60,56,93.3,0.0122,0.0062,0.0059,yes,yes,no
2026-03-02,SOXL,80,77,96.2,-0.0150,0.0148,-0.0298,yes,yes,no
2026-03-03,SOXL,17,17,100.0,0.0493,0.0946,-0.0453,yes,yes,no
2026-03-04,SOXL,31,30,96.8,0.0222,0.0042,0.0180,yes,yes,no
2026-03-05,SOXL,4,4,100.0,0.0473,0.2580,-0.2107,yes,yes,no
2026-03-06,SOXL,36,35,97.2,0.0087,0.0007,0.0079,no,yes,no
2026-03-18,TQQQ,6,3,50.0,0.1663,0.0007,0.1656,yes,yes,no
2026-03-19,TQQQ,9,3,33.3,-0.0074,0.0005,-0.0079,yes,yes,no
2026-03-25,TQQQ,2,0,0.0,-0.4163,0.0146,-0.4309,yes,yes,no
2026-06-05,SOXL,70,17,24.3,-0.2402,0.0022,-0.2424,yes,yes,no
2026-06-08,SOXL,15,9,60.0,0.4590,0.0022,0.4568,yes,yes,no
2026-06-09,SOXL,30,9,30.0,-0.4495,0.0022,-0.4516,yes,yes,no
2026-06-10,SOXL,30,10,33.3,-0.0388,0.0022,-0.0410,yes,yes,no
2026-06-11,SOXL,17,4,23.5,-0.1507,0.0312,-0.1819,yes,yes,no
2026-06-12,SOXL,26,6,23.1,-0.1730,0.0033,-0.1763,yes,yes,no
2026-06-15,SOXL,8,3,37.5,-0.1092,0.0022,-0.1114,yes,yes,no
2026-06-22,TQQQ,4,2,50.0,-0.0726,0.0027,-0.0753,yes,yes,no
2026-06-23,TQQQ,20,8,40.0,-0.1584,0.0035,-0.1619,yes,yes,no
2026-06-24,TQQQ,26,13,50.0,-0.0692,0.0077,-0.0768,yes,yes,no
2026-06-25,TQQQ,29,16,55.2,-0.0197,0.0024,-0.0221,yes,yes,no
2026-06-26,TQQQ,8,3,37.5,-0.0855,0.0027,-0.0883,yes,yes,no
2026-06-29,TQQQ,14,9,64.3,0.0871,0.0189,0.0682,yes,yes,no
2026-07-23,TQQQ,18,9,50.0,0.0683,0.0025,0.0658,yes,yes,no
2026-07-24,TQQQ,7,5,71.4,0.3261,0.0214,0.3047,yes,yes,no
2026-07-28,SOXL,27,13,48.1,-0.1025,0.0023,-0.1048,yes,yes,no
2026-08-11,SOXL,18,2,11.1,-0.3236,0.0023,-0.3259,yes,yes,no
2026-08-25,TQQQ,1,1,100.0,0.9953,0.0057,0.9896,yes,yes,no
2026-09-08,TQQQ,1,0,0.0,-0.2348,0.0055,-0.2403,yes,yes,no
2026-09-15,TQQQ,30,9,30.0,-0.0758,0.0000,-0.0758,yes,no,no
